release_id,org,version,stage,deployed_at,is_harmful,error_rate,latency_ms,availability,error_budget_remaining,canary_error_rate,canary_latency_delta,cpu_usage,memory_usage
R0001,BankA,3.0.3,staged,2026-07-20T11:00:00+00:00,False,,83,99.759,40.378,0.818,15,22.0,63.07
R0002,BankA,1.1.6,canary,2026-07-05T11:00:00+00:00,False,0.962,256,99.604,82.463,1.341,48,20.62,61.5
R0003,GovAgency,2.1.9,staged,2026-07-16T18:00:00+00:00,False,1.486,115,99.046,44.813,0.592,-10,53.49,58.99
R0004,HealthCo,3.1.5,production,2026-07-08T06:00:00+00:00,True,6.774,876,99.702,12.24,6.958,1,39.04,31.02
R0005,BankA,2.3.0,canary,2026-07-11T02:00:00+00:00,True,11.02,285,99.268,43.714,6.036,20,24.57,42.47
R0006,HealthCo,1.2.3,canary,2026-07-25T06:00:00+00:00,False,1.394,379,99.428,67.93,0.715,-3,37.93,24.09
R0007,BankA,1.2.2,canary,2026-07-30T08:00:00+00:00,False,1.113,112,99.385,68.733,0.896,12,58.7,58.74
R0008,GovAgency,1.1.8,production,2026-07-12T17:00:00+00:00,False,1.945,254,99.112,58.26,0.871,13,58.73,54.29
R0009,BankA,2.1.8,staged,2026-07-27T07:00:00+00:00,False,0.577,271,99.763,65.06,1.424,47,56.33,46.95
R0010,BankA,1.1.5,production,2026-07-14T10:00:00+00:00,False,0.675,203,99.878,91.552,0.246,42,51.72,64.01
R0011,BankA,1.2.7,production,2026-07-24T18:00:00+00:00,False,0.496,350,99.872,57.504,0.46,49,48.99,51.04
R0012,HealthCo,3.0.5,canary,2026-07-20T00:00:00+00:00,True,3.016,195,99.064,13.596,3.353,158,15.32,51.85
R0013,GovAgency,2.0.4,staged,2026-07-29T21:00:00+00:00,False,1.265,356,99.132,90.808,1.071,40,25.93,41.28
R0014,BankA,1.1.1,staged,2026-07-29T10:00:00+00:00,True,3.15,290,99.467,6.902,7.804,199,17.73,52.77
R0015,BankA,3.0.2,canary,2026-07-13T05:00:00+00:00,True,3.098,118,99.443,13.487,3.089,342,44.35,44.33
R0016,HealthCo,3.1.7,production,2026-07-10T10:00:00+00:00,False,2.175,110,99.165,30.14,0.764,38,27.84,51.35
R0017,GovAgency,3.1.2,production,2026-07-09T10:00:00+00:00,False,,109,99.579,65.243,1.372,-13,17.26,41.46
R0018,BankA,1.0.8,staged,2026-07-04T18:00:00+00:00,True,0.264,717,99.675,12.348,3.678,314,41.05,21.79
R0019,HealthCo,2.0.5,production,2026-07-11T12:00:00+00:00,False,0.737,147,99.672,49.5,0.638,-11,15.42,47.95
R0020,BankA,1.1.8,production,2026-07-10T10:00:00+00:00,False,1.314,147,99.933,87.256,1.595,27,27.82,39.72
R0021,GovAgency,2.1.9,production,2026-07-29T05:00:00+00:00,False,1.369,,99.299,73.12,1.696,-3,26.9,60.04
R0022,GovAgency,1.2.4,canary,2026-07-13T08:00:00+00:00,False,1.552,255,99.204,71.225,0.549,42,26.3,60.87
R0023,BankA,3.0.4,canary,2026-07-03T05:00:00+00:00,False,0.109,146,99.637,47.027,1.36,50,46.76,45.24
R0024,BankA,1.2.8,canary,2026-07-02T20:00:00+00:00,False,2.103,378,99.553,57.936,0.171,26,55.45,55.83
R0025,HealthCo,2.0.3,canary,2026-07-29T18:00:00+00:00,False,0.347,366,99.884,56.415,1.155,-1,56.66,30.65
R0026,BankA,3.0.0,canary,2026-07-08T23:00:00+00:00,False,1.868,250,99.782,56.761,1.239,11,27.01,55.43
R0027,HealthCo,1.0.7,staged,2026-07-10T19:00:00+00:00,False,0.579,315,99.35,83.335,1.581,8,16.06,28.69
R0028,HealthCo,1.1.4,staged,2026-07-16T07:00:00+00:00,True,3.147,354,99.331,8.457,4.593,261,23.04,63.31
R0029,HealthCo,1.1.6,canary,2026-07-25T22:00:00+00:00,True,0.711,1910,99.002,13.624,3.596,,31.39,23.15
R0030,GovAgency,2.1.8,staged,2026-07-14T12:00:00+00:00,True,3.763,231,99.554,13.337,,290,45.48,60.63
R0031,HealthCo,2.0.6,production,2026-07-26T01:00:00+00:00,False,1.556,244,99.465,58.74,0.463,40,50.72,63.19
R0032,BankA,1.1.4,production,2026-07-23T07:00:00+00:00,True,7.668,1386,99.673,8.631,3.291,-17,17.08,64.28
R0033,GovAgency,2.0.6,production,2026-07-22T10:00:00+00:00,False,1.059,155,99.656,30.36,1.377,-7,50.03,29.85
R0034,GovAgency,3.1.0,production,2026-07-25T02:00:00+00:00,False,0.698,142,99.456,82.092,1.235,20,57.75,60.11
R0035,GovAgency,3.0.8,production,2026-07-20T08:00:00+00:00,False,2.253,323,99.45,78.865,1.528,15,49.46,43.46
R0036,BankA,2.1.7,staged,2026-07-04T15:00:00+00:00,True,5.284,1024,102.015,10.682,4.63,9,32.24,26.88
R0037,BankA,2.0.6,staged,2026-07-17T22:00:00+00:00,False,2.272,379,99.946,31.27,1.597,28,36.46,62.42
R0038,HealthCo,3.0.8,staged,2026-07-24T15:00:00+00:00,False,2.02,192,99.488,47.741,0.926,29,30.13,50.56
R0039,GovAgency,1.2.7,staged,2026-07-06T18:00:00+00:00,False,2.454,353,99.027,55.611,1.059,-17,18.78,39.29
R0040,BankA,1.0.4,canary,2026-07-17T12:00:00+00:00,False,0.886,312,99.327,79.48,0.745,33,26.35,23.69
R0041,GovAgency,1.0.5,staged,2026-07-10T21:00:00+00:00,False,1.66,100,99.754,91.725,0.439,-18,42.96,30.73
R0042,GovAgency,1.1.9,staged,2026-07-10T15:00:00+00:00,False,1.216,211,99.767,40.906,1.132,-6,50.0,27.37
R0043,BankA,1.0.4,production,2026-07-25T21:00:00+00:00,False,1.726,272,99.397,76.476,0.229,11,19.59,54.76
R0044,GovAgency,1.1.9,canary,2026-07-03T02:00:00+00:00,False,0.933,299,99.662,34.482,1.201,-19,53.23,57.0
R0045,HealthCo,2.3.7,production,2026-07-07T20:00:00+00:00,False,1.145,347,99.965,47.555,1.474,48,49.86,40.92
R0046,GovAgency,2.1.5,staged,2026-07-11T19:00:00+00:00,False,2.094,124,99.279,59.302,1.376,28,30.14,42.24
